sentence1,sentence2,sentence2_masked,label,subjects,objects,ids,people,places
"Tommy has visited Akron, Jerome has visited Leroy",Tommy has visited Akron and Jerome has visited Leroy,Tommy has visited Akron [MASK] Jerome has visited Leroy,and,"Tommy, Jerome","Akron, Leroy","0, 1","Tommy, Jerome, Leroy",Akron
"Kirk has visited Haverhill, Lloyd didn't visit Joel",Lloyd didn't visit Joel and Kirk has visited Haverhill,Lloyd didn't visit Joel [MASK] Kirk has visited Haverhill,and,"Kirk, Lloyd","Haverhill, Joel","0, 1","Kirk, Lloyd, Joel",Haverhill
"Jose didn't visit Provincetown, Eric didn't visit Rhinelander",Jacob didn't visit Alan or Jose didn't visit Provincetown,Jacob didn't visit Alan [MASK] Jose didn't visit Provincetown,or,"Jose, Eric, Jacob","Provincetown, Rhinelander, Alan",0,"Jose, Eric, Jacob","Provincetown, Rhinelander"
"Rene has visited Englewood, Gary didn't visit Roland",Leslie didn't visit Fremont or Rene has visited Englewood,Leslie didn't visit Fremont [MASK] Rene has visited Englewood,or,"Rene, Gary, Leslie","Englewood, Roland, Fremont",0,"Rene, Gary, Roland, Leslie","Fremont, Englewood"
"Erik didn't visit Alexander, Gilbert didn't visit Pottstown",Clinton has visited Roy or Gilbert didn't visit Pottstown,Clinton has visited Roy [MASK] Gilbert didn't visit Pottstown,or,"Erik, Gilbert, Clinton","Alexander, Pottstown, Roy",1,"Erik, Gilbert, Alexander, Clinton",Pottstown
"Clifton didn't visit Winona, Kurt has visited Reedsport",Clifton didn't visit Winona and Kurt has visited Reedsport,Clifton didn't visit Winona [MASK] Kurt has visited Reedsport,and,"Clifton, Kurt","Winona, Reedsport","0, 1","Clifton, Kurt","Winona, Reedsport"
"Jesse has visited Rene, Claude has visited Ithaca",Claude has visited Ithaca and Jesse has visited Rene,Claude has visited Ithaca [MASK] Jesse has visited Rene,and,"Jesse, Claude","Rene, Ithaca","0, 1","Jesse, Claude, Rene",Ithaca
"Sergio didn't visit Carlos, Brad has visited Tennessee",Corey didn't visit Danny or Brad has visited Tennessee,Corey didn't visit Danny [MASK] Brad has visited Tennessee,or,"Sergio, Brad, Corey","Carlos, Tennessee, Danny",1,"Sergio, Brad, Carlos, Corey",Tennessee
"Tyrone didn't visit Gary, Bradley didn't visit Ronald",Bradley didn't visit Ronald or Tyler has visited Rancho Cucamonga,Bradley didn't visit Ronald [MASK] Tyler has visited Rancho Cucamonga,or,"Tyrone, Bradley, Tyler","Gary, Ronald, Rancho Cucamonga",1,"Tyrone, Bradley, Ronald, Gary, Tyler",Rancho Cucamonga
"Anthony didn't visit Cecil, Benjamin has visited Athens",Benjamin has visited Athens or Carl has visited Walter,Benjamin has visited Athens [MASK] Carl has visited Walter,or,"Anthony, Benjamin, Carl","Cecil, Athens, Walter",1,"Anthony, Benjamin, Cecil, Carl",Athens
"Lance has visited Nathan, Brent didn't visit Maryland",Lance has visited Nathan and Brent didn't visit Maryland,Lance has visited Nathan [MASK] Brent didn't visit Maryland,and,"Lance, Brent","Nathan, Maryland","0, 1","Lance, Brent, Nathan",Maryland
"Nicholas didn't visit Billy, Leroy didn't visit Marion",Nicholas didn't visit Billy or Ruben has visited Hugh,Nicholas didn't visit Billy [MASK] Ruben has visited Hugh,or,"Nicholas, Leroy, Ruben","Billy, Marion, Hugh",0,"Nicholas, Leroy, Billy, Marion, Ruben",
"Morris has visited Dwayne, Ronnie didn't visit Valparaiso",Morris has visited Dwayne and Ronnie didn't visit Valparaiso,Morris has visited Dwayne [MASK] Ronnie didn't visit Valparaiso,and,"Morris, Ronnie","Dwayne, Valparaiso","0, 1","Morris, Ronnie, Dwayne",Valparaiso
"Carlos didn't visit Jordan, Patrick has visited Benjamin",Carlos didn't visit Jordan and Patrick has visited Benjamin,Carlos didn't visit Jordan [MASK] Patrick has visited Benjamin,and,"Carlos, Patrick","Jordan, Benjamin","0, 1","Carlos, Patrick, Jordan, Benjamin",
"Matthew didn't visit Calvin, Roy didn't visit Willard",Matthew didn't visit Calvin and Roy didn't visit Willard,Matthew didn't visit Calvin [MASK] Roy didn't visit Willard,and,"Matthew, Roy","Calvin, Willard","0, 1","Matthew, Roy, Willard, Calvin",
"Jose has visited Isaac, Oscar didn't visit Francisco",Ray didn't visit Vernal or Oscar didn't visit Francisco,Ray didn't visit Vernal [MASK] Oscar didn't visit Francisco,or,"Jose, Oscar, Ray","Isaac, Francisco, Vernal",1,"Jose, Oscar, Francisco, Isaac, Ray",Vernal
"Lewis has visited Somerville, Aaron didn't visit McAllen",Troy didn't visit Alexandria or Aaron didn't visit McAllen,Troy didn't visit Alexandria [MASK] Aaron didn't visit McAllen,or,"Lewis, Aaron, Troy","Somerville, McAllen, Alexandria",1,"Lewis, Aaron, Troy","Alexandria, McAllen, Somerville"
"Don has visited Johnnie, Oscar has visited Joel",Clifton didn't visit San Antonio or Oscar has visited Joel,Clifton didn't visit San Antonio [MASK] Oscar has visited Joel,or,"Don, Oscar, Clifton","Johnnie, Joel, San Antonio",1,"Don, Oscar, Johnnie, Joel, Clifton",San Antonio
"Brian has visited American Fork, James didn't visit Clifford",Brian has visited American Fork or Julio didn't visit Ron,Brian has visited American Fork [MASK] Julio didn't visit Ron,or,"Brian, James, Julio","American Fork, Clifford, Ron",0,"Brian, James, Clifford, Julio",American Fork
"Roland has visited Ted, Adam has visited Alfred",Howard didn't visit Allan or Adam has visited Alfred,Howard didn't visit Allan [MASK] Adam has visited Alfred,or,"Roland, Adam, Howard","Ted, Alfred, Allan",1,"Roland, Adam, Alfred, Ted, Howard",
"Alex didn't visit Aaron, Keith has visited Wellsburg",Alex didn't visit Aaron and Keith has visited Wellsburg,Alex didn't visit Aaron [MASK] Keith has visited Wellsburg,and,"Alex, Keith","Aaron, Wellsburg","0, 1","Alex, Keith, Aaron",Wellsburg
"Lester didn't visit Custer, Andrew has visited Walter",Willie has visited Carlos or Andrew has visited Walter,Willie has visited Carlos [MASK] Andrew has visited Walter,or,"Lester, Andrew, Willie","Custer, Walter, Carlos",1,"Lester, Andrew, Walter, Willie",Custer
"Aaron has visited Madison, Hector didn't visit Adam",Hector didn't visit Adam and Aaron has visited Madison,Hector didn't visit Adam [MASK] Aaron has visited Madison,and,"Aaron, Hector","Madison, Adam","0, 1","Aaron, Hector, Adam",Madison
"Karl didn't visit Jonathan, Edward has visited Ruben",Karl didn't visit Jonathan and Edward has visited Ruben,Karl didn't visit Jonathan [MASK] Edward has visited Ruben,and,"Karl, Edward","Jonathan, Ruben","0, 1","Karl, Edward, Ruben, Jonathan",
"Julian didn't visit Montrose, Victor didn't visit Culver City",Victor didn't visit Culver City or Bruce has visited Douglas,Victor didn't visit Culver City [MASK] Bruce has visited Douglas,or,"Julian, Victor, Bruce","Montrose, Culver City, Douglas",1,"Julian, Victor, Bruce","Culver City, Montrose"
"Perry didn't visit Peoria, Willard has visited Raymond",Willard has visited Raymond or George didn't visit Dale,Willard has visited Raymond [MASK] George didn't visit Dale,or,"Perry, Willard, George","Peoria, Raymond, Dale",1,"Perry, Willard, Raymond, George",Peoria
"Vincent didn't visit Allen, Elmer has visited Jessie",Vincent didn't visit Allen and Elmer has visited Jessie,Vincent didn't visit Allen [MASK] Elmer has visited Jessie,and,"Vincent, Elmer","Allen, Jessie","0, 1","Vincent, Elmer, Allen, Jessie",
"Mathew didn't visit Flagstaff, Lonnie didn't visit Bob",Lonnie didn't visit Bob and Mathew didn't visit Flagstaff,Lonnie didn't visit Bob [MASK] Mathew didn't visit Flagstaff,and,"Mathew, Lonnie","Flagstaff, Bob","0, 1","Mathew, Lonnie, Bob",Flagstaff
"Jerry has visited Tonawanda, Dan didn't visit Milton",Jerry has visited Tonawanda or Jonathan has visited Ken,Jerry has visited Tonawanda [MASK] Jonathan has visited Ken,or,"Jerry, Dan, Jonathan","Tonawanda, Milton, Ken",0,"Jerry, Dan, Milton, Jonathan",Tonawanda
"Wade didn't visit Howard, Melvin has visited Romney",Melvin has visited Romney and Wade didn't visit Howard,Melvin has visited Romney [MASK] Wade didn't visit Howard,and,"Wade, Melvin","Howard, Romney","0, 1","Wade, Melvin, Howard",Romney
"Bill has visited Joplin, Martin has visited Luis",Bill has visited Joplin and Martin has visited Luis,Bill has visited Joplin [MASK] Martin has visited Luis,and,"Bill, Martin","Joplin, Luis","0, 1","Bill, Martin, Luis",Joplin
"Eric has visited Jose, Ted didn't visit Abingdon",Eric has visited Jose and Ted didn't visit Abingdon,Eric has visited Jose [MASK] Ted didn't visit Abingdon,and,"Eric, Ted","Jose, Abingdon","0, 1","Eric, Ted, Jose",Abingdon
"Henry didn't visit Pittsburgh, Steven didn't visit Jimmy",Henry didn't visit Pittsburgh or Gregory has visited Batavia,Henry didn't visit Pittsburgh [MASK] Gregory has visited Batavia,or,"Henry, Steven, Gregory","Pittsburgh, Jimmy, Batavia",0,"Henry, Steven, Jimmy, Gregory","Batavia, Pittsburgh"
"Kevin didn't visit Moore, Jared didn't visit Lockport",Joel didn't visit Ricardo or Kevin didn't visit Moore,Joel didn't visit Ricardo [MASK] Kevin didn't visit Moore,or,"Kevin, Jared, Joel","Moore, Lockport, Ricardo",0,"Kevin, Jared, Joel","Lockport, Moore"
"Philip didn't visit Marietta, Bernard has visited Rodney",Philip didn't visit Marietta or Edwin has visited Houlton,Philip didn't visit Marietta [MASK] Edwin has visited Houlton,or,"Philip, Bernard, Edwin","Marietta, Rodney, Houlton",0,"Philip, Bernard, Rodney, Edwin","Marietta, Houlton"
"Gerald didn't visit Tom, Ronnie has visited Knoxville",Gerald didn't visit Tom and Ronnie has visited Knoxville,Gerald didn't visit Tom [MASK] Ronnie has visited Knoxville,and,"Gerald, Ronnie","Tom, Knoxville","0, 1","Gerald, Ronnie, Tom",Knoxville
"Ross didn't visit Lead, Stanley has visited Ramon",Stanley has visited Ramon or Keith didn't visit Roseville,Stanley has visited Ramon [MASK] Keith didn't visit Roseville,or,"Ross, Stanley, Keith","Lead, Ramon, Roseville",1,"Ross, Stanley, Ramon, Keith","Lead, Roseville"
"Brian has visited Eastham, Angel didn't visit Carl",Angel didn't visit Carl and Brian has visited Eastham,Angel didn't visit Carl [MASK] Brian has visited Eastham,and,"Brian, Angel","Eastham, Carl","0, 1","Brian, Angel, Carl",Eastham
"Alex didn't visit Joseph, Kenneth has visited Lombard",Fernando has visited Bowling Green or Alex didn't visit Joseph,Fernando has visited Bowling Green [MASK] Alex didn't visit Joseph,or,"Alex, Kenneth, Fernando","Joseph, Lombard, Bowling Green",0,"Alex, Kenneth, Joseph, Fernando","Bowling Green, Lombard"
"Salvador didn't visit White Springs, Gene didn't visit Scott",Salvador didn't visit White Springs and Gene didn't visit Scott,Salvador didn't visit White Springs [MASK] Gene didn't visit Scott,and,"Salvador, Gene","White Springs, Scott","0, 1","Salvador, Gene, Scott",White Springs
"Tommy has visited Lance, Duane has visited Burlington",Duane has visited Burlington or Keith has visited Daytona Beach,Duane has visited Burlington [MASK] Keith has visited Daytona Beach,or,"Tommy, Duane, Keith","Lance, Burlington, Daytona Beach",1,"Tommy, Duane, Lance, Keith","Daytona Beach, Burlington"
"Hector didn't visit Bainbridge, Brett has visited Dan",Hector didn't visit Bainbridge or Derek didn't visit Allan,Hector didn't visit Bainbridge [MASK] Derek didn't visit Allan,or,"Hector, Brett, Derek","Bainbridge, Dan, Allan",0,"Hector, Brett, Dan, Derek",Bainbridge
"Jon has visited Gene, Benjamin didn't visit Killeen",Benjamin didn't visit Killeen and Jon has visited Gene,Benjamin didn't visit Killeen [MASK] Jon has visited Gene,and,"Jon, Benjamin","Gene, Killeen","0, 1","Jon, Benjamin, Gene",Killeen
"Karl didn't visit Lewis, Rick has visited Gulfport",Rick has visited Gulfport and Karl didn't visit Lewis,Rick has visited Gulfport [MASK] Karl didn't visit Lewis,and,"Karl, Rick","Lewis, Gulfport","0, 1","Karl, Rick, Lewis",Gulfport
"Darren didn't visit Watervliet, Christopher didn't visit Greenfield",Christopher didn't visit Greenfield and Darren didn't visit Watervliet,Christopher didn't visit Greenfield [MASK] Darren didn't visit Watervliet,and,"Darren, Christopher","Watervliet, Greenfield","0, 1","Darren, Christopher","Watervliet, Greenfield"
"Rick has visited Rome, Antonio didn't visit Terry",Rick has visited Rome or Lonnie didn't visit Johnny,Rick has visited Rome [MASK] Lonnie didn't visit Johnny,or,"Rick, Antonio, Lonnie","Rome, Terry, Johnny",0,"Rick, Antonio, Terry, Lonnie",Rome
"Sidney has visited Jeremy, Jaime didn't visit Plymouth",Jaime didn't visit Plymouth and Sidney has visited Jeremy,Jaime didn't visit Plymouth [MASK] Sidney has visited Jeremy,and,"Sidney, Jaime","Jeremy, Plymouth","0, 1","Sidney, Jaime, Jeremy",Plymouth
"Micheal has visited Tony, Mario has visited Sheboygan",Micheal has visited Tony and Mario has visited Sheboygan,Micheal has visited Tony [MASK] Mario has visited Sheboygan,and,"Micheal, Mario","Tony, Sheboygan","0, 1","Micheal, Mario, Tony",Sheboygan
"Travis didn't visit Providence, Chris has visited Clayton",Chris has visited Clayton or Jared didn't visit Carlsbad,Chris has visited Clayton [MASK] Jared didn't visit Carlsbad,or,"Travis, Chris, Jared","Providence, Clayton, Carlsbad",1,"Travis, Chris, Clayton, Jared","Carlsbad, Providence"
"Andrew didn't visit Dwayne, Craig didn't visit Lester",Craig didn't visit Lester and Andrew didn't visit Dwayne,Craig didn't visit Lester [MASK] Andrew didn't visit Dwayne,and,"Andrew, Craig","Dwayne, Lester","0, 1","Andrew, Craig, Dwayne, Lester",
"Darren has visited Norwalk, Marc has visited Clarence",Darren has visited Norwalk or Max has visited Kearney,Darren has visited Norwalk [MASK] Max has visited Kearney,or,"Darren, Marc, Max","Norwalk, Clarence, Kearney",0,"Darren, Marc, Clarence, Max","Norwalk, Kearney"
"Don didn't visit Eufaula, Derek didn't visit Nathaniel",Derek didn't visit Nathaniel and Don didn't visit Eufaula,Derek didn't visit Nathaniel [MASK] Don didn't visit Eufaula,and,"Don, Derek","Eufaula, Nathaniel","0, 1","Don, Derek, Nathaniel",Eufaula
"Karl didn't visit Tim, Roger didn't visit North Chicago",Karl didn't visit Tim and Roger didn't visit North Chicago,Karl didn't visit Tim [MASK] Roger didn't visit North Chicago,and,"Karl, Roger","Tim, North Chicago","0, 1","Karl, Roger, Tim",North Chicago
"Ricardo didn't visit Jeffrey, Dan has visited Frederick",Dan has visited Frederick and Ricardo didn't visit Jeffrey,Dan has visited Frederick [MASK] Ricardo didn't visit Jeffrey,and,"Ricardo, Dan","Jeffrey, Frederick","0, 1","Ricardo, Dan, Jeffrey, Frederick",
"Ernest has visited Susanville, Nathan didn't visit Armando",Micheal didn't visit Jon or Nathan didn't visit Armando,Micheal didn't visit Jon [MASK] Nathan didn't visit Armando,or,"Ernest, Nathan, Micheal","Susanville, Armando, Jon",1,"Ernest, Nathan, Armando, Micheal",Susanville
"Roland didn't visit Eduardo, Nathaniel has visited Middlebury",Greg has visited Herman or Roland didn't visit Eduardo,Greg has visited Herman [MASK] Roland didn't visit Eduardo,or,"Roland, Nathaniel, Greg","Eduardo, Middlebury, Herman",0,"Roland, Nathaniel, Eduardo, Greg",Middlebury
"Alvin has visited East Hampton, Ruben didn't visit Nashville",Ruben didn't visit Nashville and Alvin has visited East Hampton,Ruben didn't visit Nashville [MASK] Alvin has visited East Hampton,and,"Alvin, Ruben","East Hampton, Nashville","0, 1","Alvin, Ruben","Nashville, East Hampton"
"Zachary has visited Danville, Brent has visited Eric",Bobby has visited Leroy or Brent has visited Eric,Bobby has visited Leroy [MASK] Brent has visited Eric,or,"Zachary, Brent, Bobby","Danville, Eric, Leroy",1,"Zachary, Brent, Eric, Bobby",Danville
"Kyle has visited Enterprise, Bruce didn't visit Jesus",Kyle has visited Enterprise and Bruce didn't visit Jesus,Kyle has visited Enterprise [MASK] Bruce didn't visit Jesus,and,"Kyle, Bruce","Enterprise, Jesus","0, 1","Kyle, Bruce, Jesus",Enterprise
"Dustin didn't visit Annapolis, Miguel has visited International Falls",Miguel has visited International Falls and Dustin didn't visit Annapolis,Miguel has visited International Falls [MASK] Dustin didn't visit Annapolis,and,"Dustin, Miguel","Annapolis, International Falls","0, 1","Dustin, Miguel","Annapolis, International Falls"
"Philip has visited Binghamton, Scott didn't visit Northfield",Rodney has visited Derek or Philip has visited Binghamton,Rodney has visited Derek [MASK] Philip has visited Binghamton,or,"Philip, Scott, Rodney","Binghamton, Northfield, Derek",0,"Philip, Scott, Rodney","Northfield, Binghamton"
"Nathaniel has visited Alabama, Casey didn't visit Old Saybrook",Casey didn't visit Old Saybrook and Nathaniel has visited Alabama,Casey didn't visit Old Saybrook [MASK] Nathaniel has visited Alabama,and,"Nathaniel, Casey","Alabama, Old Saybrook","0, 1","Nathaniel, Casey","Alabama, Old Saybrook"
"Javier has visited Paris, Carl has visited Ashland",Javier has visited Paris and Carl has visited Ashland,Javier has visited Paris [MASK] Carl has visited Ashland,and,"Javier, Carl","Paris, Ashland","0, 1","Javier, Carl","Ashland, Paris"
"Frank has visited Carson City, Dale has visited Pass Christian",Frank has visited Carson City and Dale has visited Pass Christian,Frank has visited Carson City [MASK] Dale has visited Pass Christian,and,"Frank, Dale","Carson City, Pass Christian","0, 1","Frank, Dale","Carson City, Pass Christian"
"Victor didn't visit Farmington, Johnny has visited Mario",Victor didn't visit Farmington and Johnny has visited Mario,Victor didn't visit Farmington [MASK] Johnny has visited Mario,and,"Victor, Johnny","Farmington, Mario","0, 1","Victor, Johnny, Mario",Farmington
"Nathan didn't visit Derek, Andre has visited Sharon",Gregory has visited Eddie or Nathan didn't visit Derek,Gregory has visited Eddie [MASK] Nathan didn't visit Derek,or,"Nathan, Andre, Gregory","Derek, Sharon, Eddie",0,"Nathan, Andre, Derek, Gregory",Sharon
"Carl didn't visit Jonathan, Samuel has visited Charlestown",Carl didn't visit Jonathan and Samuel has visited Charlestown,Carl didn't visit Jonathan [MASK] Samuel has visited Charlestown,and,"Carl, Samuel","Jonathan, Charlestown","0, 1","Carl, Samuel, Jonathan",Charlestown
