sentence1,sentence2,sentence2_masked,label,subjects,objects,ids,people,places
"Jimmie has visited Ricardo, Dale has visited Menlo Park.",someone has visited Menlo Park,[MASK] has visited Menlo Park,someone,"Jimmie, Dale","Ricardo, Menlo Park",1,"Jimmie, Dale, Ricardo",Menlo Park
"Lee didn't visit Karl, Gregory didn't visit Bisbee.",someone didn't visit Karl,[MASK] didn't visit Karl,someone,"Lee, Gregory","Karl, Bisbee",0,"Lee, Gregory, Karl",Bisbee
"Kirk didn't visit Sam, someone has visited Wheeling.",it's false that everyone has visited Sam,it's false that [MASK] has visited Sam,everyone,Kirk,"Sam, Wheeling",0,"Kirk, Sam",Wheeling
"Hector didn't visit Jerry, Darren didn't visit Greenwich.",it's false that everyone has visited Greenwich,it's false that [MASK] has visited Greenwich,everyone,"Hector, Darren","Jerry, Greenwich",1,"Hector, Darren, Jerry",Greenwich
"everyone has visited Darrell, Mark didn't visit Edgar.",it's false that everyone has visited Edgar,it's false that [MASK] has visited Edgar,everyone,Mark,"Darrell, Edgar",1,"Mark, Edgar, Darrell",
"everyone has visited Norman, everyone didn't visit Clinton.",it's false that someone didn't visit Norman,it's false that [MASK] didn't visit Norman,someone,,"Norman, Clinton",0,Norman,Clinton
"everyone has visited Granite City, everyone has visited Mathew.",it's false that someone didn't visit Granite City,it's false that [MASK] didn't visit Granite City,someone,,"Granite City, Mathew",0,Mathew,Granite City
"Carl didn't visit Toccoa, someone didn't visit Erik.",it's false that everyone has visited Toccoa,it's false that [MASK] has visited Toccoa,everyone,Carl,"Toccoa, Erik",0,"Carl, Erik",Toccoa
"everyone has visited Pittsburgh, Glen didn't visit Louis.",it's false that everyone has visited Louis,it's false that [MASK] has visited Louis,everyone,Glen,"Pittsburgh, Louis",1,"Glen, Louis",Pittsburgh
"everyone has visited Arkansas City, Erik has visited McPherson.",it's false that someone didn't visit Arkansas City,it's false that [MASK] didn't visit Arkansas City,someone,Erik,"Arkansas City, McPherson",0,Erik,"McPherson, Arkansas City"
"Nelson didn't visit Rodney, Kurt didn't visit Kyle.",it's false that everyone has visited Rodney,it's false that [MASK] has visited Rodney,everyone,"Nelson, Kurt","Rodney, Kyle",0,"Nelson, Kurt, Rodney, Kyle",
"Randy didn't visit Southampton, Javier has visited Gatlinburg.",someone has visited Gatlinburg,[MASK] has visited Gatlinburg,someone,"Randy, Javier","Southampton, Gatlinburg",1,"Randy, Javier","Gatlinburg, Southampton"
"Dan has visited Marc, Gordon has visited Leo.",someone has visited Marc,[MASK] has visited Marc,someone,"Dan, Gordon","Marc, Leo",0,"Dan, Gordon, Marc, Leo",
"Maurice didn't visit Tullahoma, Alex didn't visit Elmer.",someone didn't visit Elmer,[MASK] didn't visit Elmer,someone,"Maurice, Alex","Tullahoma, Elmer",1,"Maurice, Alex, Elmer",Tullahoma
"everyone has visited Chester, Greg didn't visit Naperville.",someone didn't visit Naperville,[MASK] didn't visit Naperville,someone,Greg,"Chester, Naperville",1,"Greg, Chester",Naperville
"Milton didn't visit Derek, someone didn't visit Ocean City.",it's false that everyone has visited Derek,it's false that [MASK] has visited Derek,everyone,Milton,"Derek, Ocean City",0,"Milton, Derek",Ocean City
"Chad has visited Palm Bay, Dean didn't visit Herbert.",it's false that everyone has visited Herbert,it's false that [MASK] has visited Herbert,everyone,"Chad, Dean","Palm Bay, Herbert",1,"Chad, Dean, Herbert",Palm Bay
"Brad has visited Lee, Miguel has visited Cleburne.",someone has visited Lee,[MASK] has visited Lee,someone,"Brad, Miguel","Lee, Cleburne",0,"Brad, Miguel, Lee",Cleburne
"someone has visited Shelbyville, Rafael didn't visit Borger.",it's false that everyone has visited Borger,it's false that [MASK] has visited Borger,everyone,Rafael,"Shelbyville, Borger",1,Rafael,"Borger, Shelbyville"
"Thomas didn't visit Lakehurst, Lewis didn't visit Alex.",someone didn't visit Lakehurst,[MASK] didn't visit Lakehurst,someone,"Thomas, Lewis","Lakehurst, Alex",0,"Thomas, Lewis, Alex",Lakehurst
"someone has visited Bill, Lance didn't visit Forrest City.",someone didn't visit Forrest City,[MASK] didn't visit Forrest City,someone,Lance,"Bill, Forrest City",1,"Lance, Bill",Forrest City
"Reginald didn't visit Louis, Kyle didn't visit Dennis.",it's false that everyone has visited Louis,it's false that [MASK] has visited Louis,everyone,"Reginald, Kyle","Louis, Dennis",0,"Reginald, Kyle, Louis",Dennis
"Lewis didn't visit Rancho Cucamonga, everyone has visited Sidney.",it's false that someone didn't visit Sidney,it's false that [MASK] didn't visit Sidney,someone,Lewis,"Rancho Cucamonga, Sidney",1,"Lewis, Sidney",Rancho Cucamonga
"Ronald didn't visit Charlie, Joshua didn't visit Arkadelphia.",it's false that everyone has visited Arkadelphia,it's false that [MASK] has visited Arkadelphia,everyone,"Ronald, Joshua","Charlie, Arkadelphia",1,"Ronald, Joshua, Charlie",Arkadelphia
"everyone has visited Patrick, everyone didn't visit Gulfport.",it's false that someone didn't visit Patrick,it's false that [MASK] didn't visit Patrick,someone,,"Patrick, Gulfport",0,Patrick,Gulfport
"Patrick didn't visit New Martinsville, Alex didn't visit East Lansing.",it's false that everyone has visited East Lansing,it's false that [MASK] has visited East Lansing,everyone,"Patrick, Alex","New Martinsville, East Lansing",1,"Patrick, Alex","New Martinsville, East Lansing"
"Marshall didn't visit Craig, Milton didn't visit Marvin.",it's false that everyone has visited Marvin,it's false that [MASK] has visited Marvin,everyone,"Marshall, Milton","Craig, Marvin",1,"Marshall, Milton, Marvin, Craig",
"someone didn't visit Derek, Ivan didn't visit Charles City.",someone didn't visit Charles City,[MASK] didn't visit Charles City,someone,Ivan,"Derek, Charles City",1,"Ivan, Derek",Charles City
"Carlos has visited Sherman, Tony has visited Steve.",someone has visited Sherman,[MASK] has visited Sherman,someone,"Carlos, Tony","Sherman, Steve",0,"Carlos, Tony, Steve",Sherman
"Edward didn't visit Charlie, Clyde has visited Westport.",it's false that everyone has visited Charlie,it's false that [MASK] has visited Charlie,everyone,"Edward, Clyde","Charlie, Westport",0,"Edward, Clyde, Charlie",Westport
"everyone has visited Salem, everyone didn't visit Milton.",it's false that someone didn't visit Salem,it's false that [MASK] didn't visit Salem,someone,,"Salem, Milton",0,Milton,Salem
"Max has visited Rodney, Ray didn't visit Tyler.",it's false that everyone has visited Tyler,it's false that [MASK] has visited Tyler,everyone,"Max, Ray","Rodney, Tyler",1,"Max, Ray, Rodney, Tyler",
"someone didn't visit Ron, everyon has visited Marcus.",it's false that someone didn't visit Marcus,it's false that [MASK] didn't visit Marcus,someone,everyon,"Ron, Marcus",1,"everyon, Marcus, Ron",
"Jeremy has visited San Leandro, Theodore didn't visit Moline.",it's false that everyone has visited Moline,it's false that [MASK] has visited Moline,everyone,"Jeremy, Theodore","San Leandro, Moline",1,"Jeremy, Theodore","San Leandro, Moline"
"Gordon has visited Derry, everyon has visited Sheboygan.",it's false that someone didn't visit Sheboygan,it's false that [MASK] didn't visit Sheboygan,someone,"Gordon, everyon","Derry, Sheboygan",1,"Gordon, everyon","Sheboygan, Derry"
"Darrell didn't visit Cooperstown, Cecil has visited Julio.",someone didn't visit Cooperstown,[MASK] didn't visit Cooperstown,someone,"Darrell, Cecil","Cooperstown, Julio",0,"Darrell, Cecil, Julio",Cooperstown
"Nicholas didn't visit Waynesboro, Virgil didn't visit Don.",it's false that everyone has visited Don,it's false that [MASK] has visited Don,everyone,"Nicholas, Virgil","Waynesboro, Don",1,"Nicholas, Virgil, Don",Waynesboro
"Dan has visited Saint Marys City, Jonathan has visited Glen Ellyn.",someone has visited Glen Ellyn,[MASK] has visited Glen Ellyn,someone,"Dan, Jonathan","Saint Marys City, Glen Ellyn",1,"Dan, Jonathan","Saint Marys City, Glen Ellyn"
"everyone has visited Coulee Dam, Milton has visited Freddie.",it's false that someone didn't visit Coulee Dam,it's false that [MASK] didn't visit Coulee Dam,someone,Milton,"Coulee Dam, Freddie",0,"Milton, Freddie",Coulee Dam
"Brad didn't visit Leslie, Steven has visited Harwich.",someone didn't visit Leslie,[MASK] didn't visit Leslie,someone,"Brad, Steven","Leslie, Harwich",0,"Brad, Steven, Leslie",Harwich
"everyone has visited Fond du Lac, Mitchell didn't visit Painesville.",someone didn't visit Painesville,[MASK] didn't visit Painesville,someone,Mitchell,"Fond du Lac, Painesville",1,Mitchell,"Fond du Lac, Painesville"
"John has visited Allen, Barry didn't visit Astoria.",someone didn't visit Astoria,[MASK] didn't visit Astoria,someone,"John, Barry","Allen, Astoria",1,"John, Barry, Allen",Astoria
"Gregory didn't visit Brookings, Thomas didn't visit Lance.",it's false that everyone has visited Brookings,it's false that [MASK] has visited Brookings,everyone,"Gregory, Thomas","Brookings, Lance",0,"Gregory, Thomas, Lance",Brookings
"someone has visited Howard, Russell didn't visit Memphis.",it's false that everyone has visited Memphis,it's false that [MASK] has visited Memphis,everyone,Russell,"Howard, Memphis",1,"Russell, Howard",Memphis
"Byron has visited Nelson, Tracy didn't visit Lee.",it's false that everyone has visited Lee,it's false that [MASK] has visited Lee,everyone,"Byron, Tracy","Nelson, Lee",1,"Byron, Tracy, Nelson, Lee",
"Morris has visited Darrell, Greg didn't visit North College Hill.",it's false that everyone has visited North College Hill,it's false that [MASK] has visited North College Hill,everyone,"Morris, Greg","Darrell, North College Hill",1,"Morris, Greg, Darrell",North College Hill
"Daniel has visited Kansas City, Albert didn't visit Logan.",it's false that everyone has visited Logan,it's false that [MASK] has visited Logan,everyone,"Daniel, Albert","Kansas City, Logan",1,"Daniel, Albert","Kansas City, Logan"
"Brian has visited Jaime, Eddie didn't visit Ron.",it's false that everyone has visited Ron,it's false that [MASK] has visited Ron,everyone,"Brian, Eddie","Jaime, Ron",1,"Brian, Eddie, Jaime, Ron",
"everyone didn't visit Parkersburg, Bernard didn't visit Adrian.",it's false that everyone has visited Adrian,it's false that [MASK] has visited Adrian,everyone,Bernard,"Parkersburg, Adrian",1,"Bernard, Adrian",Parkersburg
"Dennis has visited Leroy, Raymond has visited Biddeford.",someone has visited Leroy,[MASK] has visited Leroy,someone,"Dennis, Raymond","Leroy, Biddeford",0,"Dennis, Raymond, Leroy",Biddeford
"everyone has visited Miguel, Joseph has visited Titusville.",it's false that someone didn't visit Miguel,it's false that [MASK] didn't visit Miguel,someone,Joseph,"Miguel, Titusville",0,"Joseph, Miguel",Titusville
"everyone has visited Galesburg, Kenneth didn't visit Derek.",it's false that everyone has visited Derek,it's false that [MASK] has visited Derek,everyone,Kenneth,"Galesburg, Derek",1,"Kenneth, Derek",Galesburg
"Kelly didn't visit Oberlin, Floyd didn't visit Armando.",it's false that everyone has visited Oberlin,it's false that [MASK] has visited Oberlin,everyone,"Kelly, Floyd","Oberlin, Armando",0,"Kelly, Floyd, Armando",Oberlin
"Justin didn't visit Elmer, Philip has visited Martinez.",it's false that everyone has visited Elmer,it's false that [MASK] has visited Elmer,everyone,"Justin, Philip","Elmer, Martinez",0,"Justin, Philip, Elmer",Martinez
"Duane has visited Sergio, Fred has visited Searcy.",someone has visited Sergio,[MASK] has visited Sergio,someone,"Duane, Fred","Sergio, Searcy",0,"Duane, Fred, Sergio",Searcy
"everyone has visited Saranac Lake, someone didn't visit John.",it's false that someone didn't visit Saranac Lake,it's false that [MASK] didn't visit Saranac Lake,someone,,"Saranac Lake, John",0,John,Saranac Lake
"someone didn't visit Joshua, everyon has visited Yellow Springs.",it's false that someone didn't visit Yellow Springs,it's false that [MASK] didn't visit Yellow Springs,someone,everyon,"Joshua, Yellow Springs",1,"everyon, Joshua",Yellow Springs
"everyone has visited Springfield, Marshall has visited Jaime.",it's false that someone didn't visit Springfield,it's false that [MASK] didn't visit Springfield,someone,Marshall,"Springfield, Jaime",0,"Marshall, Jaime",Springfield
"Steve didn't visit Mark, Anthony has visited Columbia.",it's false that everyone has visited Mark,it's false that [MASK] has visited Mark,everyone,"Steve, Anthony","Mark, Columbia",0,"Steve, Anthony, Mark",Columbia
"everyone didn't visit Douglas, everyone has visited Bellows Falls.",it's false that someone didn't visit Bellows Falls,it's false that [MASK] didn't visit Bellows Falls,someone,,"Douglas, Bellows Falls",1,Douglas,Bellows Falls
"Shane didn't visit Vincent, everyone didn't visit Tyler.",it's false that everyone has visited Vincent,it's false that [MASK] has visited Vincent,everyone,Shane,"Vincent, Tyler",0,"Shane, Vincent, Tyler",
"Benjamin has visited Atlantic City, Franklin didn't visit Salinas.",it's false that everyone has visited Salinas,it's false that [MASK] has visited Salinas,everyone,"Benjamin, Franklin","Atlantic City, Salinas",1,"Benjamin, Franklin","Salinas, Atlantic City"
"someone has visited Howard, everyon has visited California.",it's false that someone didn't visit California,it's false that [MASK] didn't visit California,someone,everyon,"Howard, California",1,"everyon, Howard",California
"Kurt didn't visit Aaron, Randall didn't visit San Luis Obispo.",it's false that everyone has visited San Luis Obispo,it's false that [MASK] has visited San Luis Obispo,everyone,"Kurt, Randall","Aaron, San Luis Obispo",1,"Kurt, Randall, Aaron",San Luis Obispo
"Kurt has visited McCook, Ken didn't visit Concord.",it's false that everyone has visited Concord,it's false that [MASK] has visited Concord,everyone,"Kurt, Ken","McCook, Concord",1,"Kurt, Ken","Concord, McCook"
"Allen didn't visit Lee, Wade didn't visit Stamford.",someone didn't visit Lee,[MASK] didn't visit Lee,someone,"Allen, Wade","Lee, Stamford",0,"Allen, Wade, Lee",Stamford
"someone didn't visit Terry, everyon has visited Maurice.",it's false that someone didn't visit Maurice,it's false that [MASK] didn't visit Maurice,someone,everyon,"Terry, Maurice",1,"everyon, Maurice, Terry",
"someone didn't visit Frank, Dave has visited Andy.",someone has visited Andy,[MASK] has visited Andy,someone,Dave,"Frank, Andy",1,"Dave, Andy, Frank",
"Lee has visited Brighton, Franklin didn't visit Beaufort.",it's false that everyone has visited Beaufort,it's false that [MASK] has visited Beaufort,everyone,"Lee, Franklin","Brighton, Beaufort",1,"Lee, Franklin","Brighton, Beaufort"
"everyone has visited Hanover, everyone has visited South Orange Village.",it's false that someone didn't visit South Orange Village,it's false that [MASK] didn't visit South Orange Village,someone,,"Hanover, South Orange Village",1,,"Hanover, South Orange Village"
"Armando has visited Union, Jack has visited Owensboro.",someone has visited Union,[MASK] has visited Union,someone,"Armando, Jack","Union, Owensboro",0,"Armando, Jack","Owensboro, Union"
"everyon has visited Bossier City, someone didn't visit Pontiac.",it's false that someone didn't visit Bossier City,it's false that [MASK] didn't visit Bossier City,someone,everyon,"Bossier City, Pontiac",0,everyon,"Pontiac, Bossier City"
"Harry didn't visit North Hempstead, Cliffor didn't visit Wisconsin.",it's false that everyone has visited Wisconsin,it's false that [MASK] has visited Wisconsin,everyone,"Harry, Cliffor","North Hempstead, Wisconsin",1,"Harry, Cliffor","North Hempstead, Wisconsin"
"someone didn't visit Keokuk, everyone has visited Herman.",it's false that someone didn't visit Herman,it's false that [MASK] didn't visit Herman,someone,,"Keokuk, Herman",1,Herman,Keokuk
"everyone didn't visit Benjamin, everyone has visited Alvin.",it's false that someone didn't visit Alvin,it's false that [MASK] didn't visit Alvin,someone,,"Benjamin, Alvin",1,"Benjamin, Alvin",
"someone has visited Joseph, Phillip didn't visit Lloyd.",it's false that everyone has visited Lloyd,it's false that [MASK] has visited Lloyd,everyone,Phillip,"Joseph, Lloyd",1,"Phillip, Lloyd, Joseph",
"Wallace didn't visit Rockville, Sean has visited Rafael.",it's false that everyone has visited Rockville,it's false that [MASK] has visited Rockville,everyone,"Wallace, Sean","Rockville, Rafael",0,"Wallace, Sean, Rafael",Rockville
"everyone didn't visit Sam, everyone has visited Tiverton.",it's false that someone didn't visit Tiverton,it's false that [MASK] didn't visit Tiverton,someone,,"Sam, Tiverton",1,Sam,Tiverton
"Jared didn't visit Clayton, Billy didn't visit Greenfield.",someone didn't visit Clayton,[MASK] didn't visit Clayton,someone,"Jared, Billy","Clayton, Greenfield",0,"Jared, Billy, Clayton",Greenfield
"Harold didn't visit Connecticut, everyone has visited Aberdeen.",it's false that someone didn't visit Aberdeen,it's false that [MASK] didn't visit Aberdeen,someone,Harold,"Connecticut, Aberdeen",1,Harold,"Connecticut, Aberdeen"
"Reginald didn't visit Alex, Karl didn't visit Orderville.",it's false that everyone has visited Orderville,it's false that [MASK] has visited Orderville,everyone,"Reginald, Karl","Alex, Orderville",1,"Reginald, Karl, Alex",Orderville
"Jesse didn't visit Lake Charles, Lloyd has visited Kittery.",it's false that everyone has visited Lake Charles,it's false that [MASK] has visited Lake Charles,everyone,"Jesse, Lloyd","Lake Charles, Kittery",0,"Jesse, Lloyd","Lake Charles, Kittery"
"Micheal didn't visit Larry, Billy has visited Anthony.",it's false that everyone has visited Larry,it's false that [MASK] has visited Larry,everyone,"Micheal, Billy","Larry, Anthony",0,"Micheal, Billy, Anthony, Larry",
"Gene didn't visit The Dalles, someone didn't visit Kevin.",someone didn't visit The Dalles,[MASK] didn't visit The Dalles,someone,Gene,"The Dalles, Kevin",0,"Gene, Kevin",The Dalles
"Earl has visited Andrew, Charles didn't visit Felix.",someone has visited Andrew,[MASK] has visited Andrew,someone,"Earl, Charles","Andrew, Felix",0,"Earl, Charles, Andrew, Felix",
"Leon didn't visit Oscar, everyone has visited Santa Claus.",it's false that someone didn't visit Santa Claus,it's false that [MASK] didn't visit Santa Claus,someone,Leon,"Oscar, Santa Claus",1,"Leon, Oscar",Santa Claus
"Frederick didn't visit Gary, Kirk didn't visit Saint Marys City.",it's false that everyone has visited Saint Marys City,it's false that [MASK] has visited Saint Marys City,everyone,"Frederick, Kirk","Gary, Saint Marys City",1,"Frederick, Kirk, Gary",Saint Marys City
"Ralph didn't visit Bremerton, Todd didn't visit Duxbury.",it's false that everyone has visited Duxbury,it's false that [MASK] has visited Duxbury,everyone,"Ralph, Todd","Bremerton, Duxbury",1,"Ralph, Todd","Bremerton, Duxbury"
"Jay has visited Chapel Hill, Jorge didn't visit Adrian.",it's false that everyone has visited Adrian,it's false that [MASK] has visited Adrian,everyone,"Jay, Jorge","Chapel Hill, Adrian",1,"Jay, Jorge, Adrian",Chapel Hill
"Micheal has visited Laie, everyone has visited Jon.",it's false that someone didn't visit Jon,it's false that [MASK] didn't visit Jon,someone,Micheal,"Laie, Jon",1,"Micheal, Jon",Laie
"Howard has visited Bozeman, Ronnie has visited Lonnie.",someone has visited Lonnie,[MASK] has visited Lonnie,someone,"Howard, Ronnie","Bozeman, Lonnie",1,"Howard, Ronnie, Lonnie",Bozeman
"Maurice didn't visit Juan, Charles didn't visit Wisconsin Dells.",it's false that everyone has visited Wisconsin Dells,it's false that [MASK] has visited Wisconsin Dells,everyone,"Maurice, Charles","Juan, Wisconsin Dells",1,"Maurice, Charles, Juan",Wisconsin Dells
"Brent didn't visit Mobridge, everyone has visited Tim.",it's false that everyone has visited Mobridge,it's false that [MASK] has visited Mobridge,everyone,Brent,"Mobridge, Tim",0,"Brent, Tim",Mobridge
"Johnnie has visited New Braunfels, Harry didn't visit Rawlins.",it's false that everyone has visited Rawlins,it's false that [MASK] has visited Rawlins,everyone,"Johnnie, Harry","New Braunfels, Rawlins",1,"Johnnie, Harry","New Braunfels, Rawlins"
"Jerome didn't visit Grand Haven, Dave didn't visit Allen.",someone didn't visit Allen,[MASK] didn't visit Allen,someone,"Jerome, Dave","Grand Haven, Allen",1,"Jerome, Dave, Allen",Grand Haven
"someone didn't visit Hawaii, everyone has visited Joseph.",it's false that someone didn't visit Joseph,it's false that [MASK] didn't visit Joseph,someone,,"Hawaii, Joseph",1,Joseph,Hawaii
"someone has visited New Windsor, Steve didn't visit George.",it's false that everyone has visited George,it's false that [MASK] has visited George,everyone,Steve,"New Windsor, George",1,"Steve, George",New Windsor
"everyone has visited Hector, everyone has visited Saint Louis.",it's false that someone didn't visit Saint Louis,it's false that [MASK] didn't visit Saint Louis,someone,,"Hector, Saint Louis",1,Hector,Saint Louis
"everyone has visited Marcus, Alan didn't visit Thermopolis.",someone didn't visit Thermopolis,[MASK] didn't visit Thermopolis,someone,Alan,"Marcus, Thermopolis",1,"Alan, Marcus",Thermopolis
"everyone didn't visit Perry, Lee didn't visit Millburn.",someone didn't visit Millburn,[MASK] didn't visit Millburn,someone,Lee,"Perry, Millburn",1,"Lee, Perry",Millburn
"everyone didn't visit Peter, Hector didn't visit Daniel.",it's false that everyone has visited Daniel,it's false that [MASK] has visited Daniel,everyone,Hector,"Peter, Daniel",1,"Hector, Peter, Daniel",
"Kyle has visited Bryan, someone didn't visit Camden.",someone has visited Bryan,[MASK] has visited Bryan,someone,Kyle,"Bryan, Camden",0,"Kyle, Bryan",Camden
"Marcus didn't visit Ken, everyone has visited Vincent.",it's false that everyone has visited Ken,it's false that [MASK] has visited Ken,everyone,Marcus,"Ken, Vincent",0,"Marcus, Vincent, Ken",
"everyone has visited Moab, everyone has visited Nicholas.",it's false that someone didn't visit Moab,it's false that [MASK] didn't visit Moab,someone,,"Moab, Nicholas",0,Nicholas,Moab
"Howard didn't visit Russell, everyone has visited Louisiana.",someone didn't visit Russell,[MASK] didn't visit Russell,someone,Howard,"Russell, Louisiana",0,"Howard, Russell",Louisiana
"Gabriel didn't visit Alta, Timothy didn't visit Albert.",it's false that everyone has visited Alta,it's false that [MASK] has visited Alta,everyone,"Gabriel, Timothy","Alta, Albert",0,"Gabriel, Timothy, Albert",Alta
"Bobby didn't visit Gregory, someone didn't visit Victor.",it's false that everyone has visited Gregory,it's false that [MASK] has visited Gregory,everyone,Bobby,"Gregory, Victor",0,"Bobby, Victor, Gregory",
"Anthony didn't visit Ossining, everyone has visited Wallace.",it's false that everyone has visited Ossining,it's false that [MASK] has visited Ossining,everyone,Anthony,"Ossining, Wallace",0,"Anthony, Wallace",Ossining
"Shawn has visited Alfred, someone has visited Gastonia.",someone has visited Alfred,[MASK] has visited Alfred,someone,Shawn,"Alfred, Gastonia",0,"Shawn, Alfred",Gastonia
"everyone has visited Kewanee, Wallace didn't visit Carlos.",it's false that someone didn't visit Kewanee,it's false that [MASK] didn't visit Kewanee,someone,Wallace,"Kewanee, Carlos",0,"Wallace, Carlos",Kewanee
"Kyle didn't visit Mark, Byron has visited Loveland.",someone didn't visit Mark,[MASK] didn't visit Mark,someone,"Kyle, Byron","Mark, Loveland",0,"Kyle, Byron, Mark",Loveland
"Rafael didn't visit Clanton, Rodney has visited Manhattan.",someone didn't visit Clanton,[MASK] didn't visit Clanton,someone,"Rafael, Rodney","Clanton, Manhattan",0,"Rafael, Rodney","Manhattan, Clanton"
"Alan has visited Jesse, Clayton didn't visit New Windsor.",someone has visited Jesse,[MASK] has visited Jesse,someone,"Alan, Clayton","Jesse, New Windsor",0,"Alan, Clayton, Jesse",New Windsor
"Don has visited William, someone has visited Sidney.",someone has visited William,[MASK] has visited William,someone,Don,"William, Sidney",0,"Don, Sidney, William",
"Clifford has visited Anthony, Ian didn't visit Emporia.",someone didn't visit Emporia,[MASK] didn't visit Emporia,someone,"Clifford, Ian","Anthony, Emporia",1,"Clifford, Ian, Anthony",Emporia
"someone has visited Watertown, Steven has visited Fallon.",someone has visited Fallon,[MASK] has visited Fallon,someone,Steven,"Watertown, Fallon",1,Steven,"Watertown, Fallon"
"Nathanie didn't visit Dustin, everyone didn't visit Stephen.",it's false that everyone has visited Dustin,it's false that [MASK] has visited Dustin,everyone,Nathanie,"Dustin, Stephen",0,"Nathanie, Dustin, Stephen",
"Raul didn't visit Cumberland, someone has visited Terre Haute.",someone didn't visit Cumberland,[MASK] didn't visit Cumberland,someone,Raul,"Cumberland, Terre Haute",0,Raul,"Terre Haute, Cumberland"
"Marshall has visited Jimmy, Ricardo didn't visit Jessie.",it's false that everyone has visited Jessie,it's false that [MASK] has visited Jessie,everyone,"Marshall, Ricardo","Jimmy, Jessie",1,"Marshall, Ricardo, Jessie, Jimmy",
"Mario didn't visit Wayne, someone didn't visit Middletown.",it's false that everyone has visited Wayne,it's false that [MASK] has visited Wayne,everyone,Mario,"Wayne, Middletown",0,"Mario, Wayne",Middletown
"everyone has visited Portsmouth, Salvador didn't visit Kyle.",someone didn't visit Kyle,[MASK] didn't visit Kyle,someone,Salvador,"Portsmouth, Kyle",1,"Salvador, Kyle",Portsmouth
"Lonnie has visited Saint Martinville, Christia has visited Mike.",someone has visited Mike,[MASK] has visited Mike,someone,"Lonnie, Christia","Saint Martinville, Mike",1,"Lonnie, Christia, Mike",Saint Martinville
"Jimmie didn't visit Leadville, Jeffrey has visited Westminster.",it's false that everyone has visited Leadville,it's false that [MASK] has visited Leadville,everyone,"Jimmie, Jeffrey","Leadville, Westminster",0,"Jimmie, Jeffrey","Leadville, Westminster"
"everyone has visited Brandon, Jay didn't visit Jonesboro.",it's false that everyone has visited Jonesboro,it's false that [MASK] has visited Jonesboro,everyone,Jay,"Brandon, Jonesboro",1,"Jay, Brandon",Jonesboro
"Jordan didn't visit Litchfield, Lloyd didn't visit Mount Pleasant.",it's false that everyone has visited Mount Pleasant,it's false that [MASK] has visited Mount Pleasant,everyone,"Jordan, Lloyd","Litchfield, Mount Pleasant",1,"Jordan, Lloyd","Litchfield, Mount Pleasant"
"Jerry didn't visit Woodstock, everyone has visited Duane.",it's false that someone didn't visit Duane,it's false that [MASK] didn't visit Duane,someone,Jerry,"Woodstock, Duane",1,"Jerry, Duane",Woodstock
"Tony didn't visit Pittsfield, Lawrence didn't visit Leroy.",it's false that everyone has visited Pittsfield,it's false that [MASK] has visited Pittsfield,everyone,"Tony, Lawrence","Pittsfield, Leroy",0,"Tony, Lawrence, Leroy",Pittsfield
"someone has visited McKinney, Randy has visited Houlton.",someone has visited Houlton,[MASK] has visited Houlton,someone,Randy,"McKinney, Houlton",1,Randy,"McKinney, Houlton"
"everyone didn't visit Gordon, everyone has visited Sharon.",it's false that someone didn't visit Sharon,it's false that [MASK] didn't visit Sharon,someone,,"Gordon, Sharon",1,Gordon,Sharon
